sent_id	sentence
93	since we moved to the new office .
94	By the way , I just heard that you quit the job , and because of that I have not been seen you .
95	I heard some people saying that you did that because of your claustrophobia , and I would like to know more about it from you .
96	But you know what , I do n't think that you are taking the right option , and you had better overcome it by following my tips .
97	I 'm just an engineer yet I know that if you do n't overcome it , you will be tied in it for the rest of your life , and you will not be as happy as you can be .
98	So , try to take some tips from your family doctor , and do n't give up while you are facing this giant .
99	What 's up man ?
100	I heared at the office you 're leaving us because your Phobia , but i think you should n't do that .
101	Look for other jobs will not help you since all the offices at London looks like this new one .
102	I think you must overcome this problem and I recomend you to go in a good doctor who treat my Mother .
103	She was a aracnophobe and now She can control her phobia .
104	At the office I 'll give you the name and the number of this doctor , so you can make an apointment .
105	A suggest of mine , you can get a bike to come to the new office Because in this way you can avoid the subway and it 's a healther habit .
106	By , I really expect to see you tomorow at the office .
107	You can try techniques like Cognitive Behavioral Therapy or try to go in training of breathing methods .
108	If all of that don’t are helping you should see a doctor for try a drug treatment .
109	I hope which this tips have had helped you and you forget this idea of leave your current job .
110	See you tomorrow , Afonso Rocha .
111	I’m writing this current email to try convincing you that it’s not necessary you leave your job just because you have a phobia .
112	In these days , this sort of phobia is completely normal , after all we live in a chaotic society .
113	I’ll show to you the main symptoms and how to fight against this phobia .
114	First of all , we can define claustrophobia as an irrational fear of enclosed spaces .
115	We have two kinds of symptoms : psychological and physical .
116	Psychological include : feelings of anxiety , panic and fear of stay in enclosed spaces .
117	Physical include : breathing problems , fainting , racing heart , shaking and sweating .
118	You have many ways to try overcoming this phobia .
119	I 'm very sad for the reason why you are leaving the job .
120	I understand that it 's a illness , and you can n't control by yourself , but I 'm ready to stay in your side to help with anything that you want .
121	The symptoms that you are feeling in the subway can be avoid if you go to the job by bus .
122	It will result in more time to arrive in the bank , but i thing you can manage your time well .
123	I know a therapy that can be perfect to you .
124	I studied something in the college about cognitive behavior therapy , and I can help you in the situations that you will need to dare during your way and inside the job .
125	So i would appreciate if you thing twice before quit the job .
126	I hope everything has been ok with you .
127	I 'm sorry about what happened to you last week in elevator .
128	I suffered many panic attacks a long ago and I know how is be a claustophobic , you feel anxiety , panic , fear and look for a exit .
129	I think you should consult a doctor or medical professional for help .
130	I did this when I was claustophobic , nowadays , I have some fear , but I 'm so much better than I was , now I do n't have more troubles .
131	There are a big number of treatments and techniques , the doctor will recomend the medical more avaliable for you and your symptoms .
132	With the right treatments I 'm sure you can keep your job .
133	Think about it .
134	How are you doing ?
135	I 've heard that you are thinking about resigning your job .
136	Well , I think that 's a bad decision .
137	I understand that these breathing problems , racing heart , shaking and sweating symptoms you get due to claustrophobia should be no good , but let me give you some advice .
138	I would recommend you a treatment called Cognitive Behavioral Therapy -LRB- CBT -RRB- , which will give you a training of your mind to think positively and more racionally so that you 'd no longer feel anxious about enclosed spaces .
139	You would be accompanied by a therapist who would try to make you feel safe .
140	Probably you will get used to the situations and will see that there is no reason to be afraid .
141	You can also try to get some medications from a doctor to slow your pounding heart due to this phobia .
142	People that devote their whole career to help others get rid of fears like yours .
143	Keep your job .
144	it 's yours and you deserved it , and seek professional help , my friend .
145	Let other people help you .
146	Do n't try to live with this on your own .
147	You do n't have to .
148	You can count on me , Rafael
149	i 'm sorry to hear about your resignation letter specially because of what made you do it .
150	I do sympathize with you , but i think you can and should do better than this .
151	Being the brilliant professional that you are , you own it to yourself and to the people who love you .
152	You can do this , my friend .
153	Many people did it before , and many people are doing it right know , as i write this letter to you .
154	I do n't think they are any more capable than you are .
155	The important thing to notice , and that you apparently missed , is that a fear being irrational does not mean that it 's impossible to overcome .
156	There actually are doctors specialized on this subject .
157	I do n't think you are in the right way with your decision of resignation the job .
158	I know that caustrophonia can be embarassing for the sufferer .
159	Claustrophobia is a common disorder .
160	In my humble opinion you should considerate overcome any embarrassment and seek treatment .
161	Symptoms such as sweating , accelerated heart rate , hyperventilation , dizziness and nausea are some of the most common symptoms of claustrophobia to avoid this physucal symptoms you should considerate to buy a car to go to your workplace .
162	Claustrophobia has a negative impact on the day-to-day lives of people with this phobia .
163	They estrange themselves from family and friend by avoiding places that can trigger a panic attack considerating those symptoms you really should get a referral to a phobia specialist .
164	A psychologist or a psychiatrist will have the skills to treat claustrophobia and panic attacks .
165	Keep in mind that a psychiatrist can prescribe medication that will help you deal with that situation .
166	I knew that you will give up your current job because they changed the office for other place .
167	what made the symptoms of your phobia appearing .
168	I want to encourage you for you don’t resignation of this job because you can overcome this phobia .
169	I know that the symptoms are very bad , like fainting , racing heart , shaking and sweating , but I think that you are able to overcome this .
170	For to resolve the problem , I suggest that you find help , like the Cognitive Behavioral Therapy , medication , breathing techniques , muscle relaxation , etc. Don’t give up , you are able to overcome this phobia .
171	Your best friend .
172	asdfas dasfads f
173	I knew you want to quit your job because your claustophobia .
174	I need to ask you to stay in your job , because if you get out your job due this , you will n't stay in any job .
175	In the end , you will be unemployed forever .
176	I know you get feelings of anxiety , panic , an urge to look for exits and a desire to move and stay close to an exit whenever you are in an enclosed space , but this disease has treatment .
177	If you want my help , we 'll search for a specialist .
178	I have read about treatment for claustrophobia and I think you can try the Cognitive Behavioral Therapy -LRB- CBT -RRB- . This therapy could help you to control your fear .
179	Drop me a line .
180	Yours , John Doe
181	I heard that you get scared of being trapped , unable to escape quickly and easily from the enclosed area , however I find out a treatment to claustrophobia and I hope it could help you .
182	A number of treatments and techniques are available for dealing with claustrophobia .
183	Many who use them are amazed at the improvements .
184	It is not unusual for patients to overcome their fear completely , with it never to return .
185	I think you could see a doctor to talk about your fears , so you can overcome it and do n't need to resign that amazing job .
186	See ya , Eduardo
187	I new about your decision of leaving the job here because of your problems with claustrophobia .
188	I may imagine how difficult may be feel panic and anxiety , and have breathing problems , racing heart or even sweat .
189	But I really would like to encourage you to try to overcome this phobia .
190	I 've read a newspaper article and new that is possible to be cured 100 % being treated by a doctor .
191	The treatment includes training the patient 's mind to think positivly and methods for dealing with their symptoms .
192	Also is possible to receive a prescription to use some medicine to help control your heart beating , etc. So , try this first .
193	If you give-up you will n't resolve your problem .
194	Their expertise and advice will help you manage the treatment strategies necessary for you to continue where you are working .
195	Keep in touch Claudio
196	How are you today ?
197	I was very surprised and kind of sad to know that you will leave a great job in a higly qualified enterprise , just because that you call as claustrophobia .
198	I suppose you sould think again and change your decision and remain in your employment .
199	If you adopt some form of therapy , you will probably adapt to the new place of work and will no longer have any problem of phobia .
200	No one grows accustomed to an anxiety disorder that interferes with daily life , but some grow discouraged and conclude that their fear is insumountable .
201	You can overcame the claustrophobia !
202	Talk to a counselor or therapist .
203	These professionals can guide you to overcome your fear so much better than any hint .
204	Please think about what I said .
205	I heard that you want to leave your current job beacuse of claustrophobia .
206	is it true ?
207	if it is true I need to tell you : you should n't do it !
208	Would n't it be great to not panic everytime you 're in a crowded place , and take an elevator without any fear ?
209	With the right treatment you can do it !
210	And you will be able to do daily and simple activities that previously you would n't because of an irrational fear .
211	Drugs can help the patient manage his symptoms too .
212	I hope you well .
213	I 'm writing to encourage you overcoming the claustrophobia .
214	I know it is very hard to you living with this phobia but we are friends .
215	I have made a searching when I was surfing on the internet and nowadays I know the physical symptoms and psychological synptoms such as feelings of anxiety .
216	Being anxious is bad for your health .
217	Treating claustrophobia need few steps to be overcome .
218	There is a CBT putting the human being in a extreme situation : Enclosed places , crowded places , etc. Medications could be used when a doctor recomend it .
219	Hi Ian I knew about your thinking quit cause you are claustrophobic .
220	lead in a pratical way there 's no real motive for that fear .
221	We all will help you face this phobia always count on us .
222	since you decide to quit the office was never be the same again .
223	the coffee break whenever be boring without you .
224	See you later !
225	Do n't give in of your job .
226	what about try confront your fear .
227	confront the symptoms when you have breath problems make a pause and try relax think positively .
228	you can overcome these anxienty symptoms .
229	I read your letter of resignation and for me it describes that you have claustrophobia , it means , an irrational fear of enclosed spaces .
230	People who have this phobia , in such places may experience feelings of anxiety and a desire to move and stay close to an exit .
231	Moreover , the physical symptoms might include racing heart and sweating , like you noticed .
232	From the moment you accept you have claustrophobia , you can be happy because it 's treatable !
233	You can talk to a doctor if you want drug treatments , but you also can training in meditation breathing techniques , muscle relaxation , etc. that can help during a panic atrack or any such period of anxiety .
234	I expect you continue in the job and get better .
235	You should seek for medical help .
236	I can help you on this .
237	I know a really good doctor and I believe he could help you a lot !
238	Do n't forget I 'm here to help you with any problem , ok ?
239	Keep in touch and take care .
240	How is it going ?
241	I was thinking about our last conversation .
242	I think you must n't leave your job .
243	It 's a really nice work and you 'll have a lot of good opportunities working for the company .
244	I recently read an article about claustrophobia .
245	Do you know this phobia is treatable ?
246	Maybe you should take some medication to help you control your fears .
247	I think you must control your fears before it controls you !
248	My Dear Friend Ian .
249	I really believe you should talk to a qualified person , starting a treatment immediately , keeping on working here with so nice team .
250	I had access to your resignation letter yesterday .
251	Reading your communication it made all colleagues and me extremely bored .
252	I started to think how could I help you to solve your psychological issue , giving us the opportunity to stay working together for a couple of years more .
253	I remembered that I had an aunt with a similar problem .
254	I decided to write down her an e-mail , asking for some help , because she had overcame that odd behavior .
255	I 've just got her reply .
256	Under so difficult symptoms , she looked for a therapist , who gave her all basic information about Claustrophobia and some advices on how to cope with the phobia .
257	To get all details , you can check the attached I 've enclosed to this mail .
258	Bye , bye , I ' see you later .
259	I 've heard that you are resigning from your actual job , and the reason is your claustrophobia .
260	Well , I think I can help you .
261	The claustrophobia is an irrational fear of enclosed and crowded places , like subways , room theaters , etc. But I have something to say about this phobia : you can face your fears .
262	I was reading a letleaf wich tell about new treatments for claustrophobia .
263	There 's a method called Cognitive Behavioral Therapy -LRB- CBT -RRB- wich trains the patient 's mind towards a more positive way of thinking .
264	So , you can no longer feel anxious about enclosed spaces .
265	There 's more : the patients can be taught to dealing better with their symptons with breath tchniques , muscle relaxation , etc. Well , I strongly recomend you to try this method and to face your fears .
266	Do n't resign from your job because your phobia .
267	How is it going ?
268	I really understand what uncomfortable feeling you have .
269	These horrible things such as shaking hands , breathing problem and racing heart .
270	But you have a great job !
271	You do like it !
272	I think you can find a way of coping with that phobia .
273	Probably you should visit a specialist .
274	I 've just heard that you are going to leave our project and I 'm deeply disappointed about that .
275	I understand that the only reason is your irrational fear of enclosed spaces .
276	Changing the working places all the time is not a good solution .
277	There are lots of enclosed spaces in our life and you can n't avoid all of them .
278	You should probably ask medical professional for an advice .
279	All the symptoms are of psychological origin and to find a good psychologist is not a bad idea .
280	I 'm sure the advantages of working in a good company with friendly and supportive co-workers will keep you here !
281	feeling of anxiety panic a feeling that the situation is dangerous an urge to look for ways out / exits Physical symptoms : breathing problems fainting racing heart shaking sweating A number of treatments and techniques are available .
282	Many who use them are amazed at the improvements .
283	CognitiveBehavioralTherapy -LRB- CBT -RRB- aims to train the patient 's mind towards a more positive and rational way of thinking so that they no longer feel anxious about enclosed space .
284	see you soon .
285	How 's it going ?
286	It 's me , Sam , and my new email .
287	I 've heard you finding a new job ?
288	Are you worried about anything ?
289	Look , wait a little , think quite again clearly .
290	I find some information on Internet , listen to me .
291	Claustrophobia can be defined in general terms as an irrational fear of enclosed spaces .
292	In some places , they may experience the following psychologicsl symptoms .
293	Of course there are plenty of medicines to use , but I 'd recomend you to try another stretagy called Cognitive Behavioral Therapy , which trains your mind toward a more rational and positive way of thinking .
294	At the end you get used to those kind of scary situations and it does n't frighten you no more .
295	I hope you will try to solve your problem instead of giving up on it and just taking the easiest way to escape it .
296	And , please , do n't forget that you always have your friends by your side to help you .
297	Love , Your friend - Joe .
298	I 've just heard the rumors about your leaving the company and your reasons for this decision .
299	This whole story made me feel really upset and frustrated in a way .
300	I want to try to convince you to stay , even though I know that those reasons you have are quite ponderable .
301	But I 'd try my best , because I 'm sure our company values and needs you as an employee and I need you as a colleague and friend .
302	As far as I know , claustrophobia is an irrational fear of enclosed spaces .
303	And it has pretty scary symptoms such as breathing problems , fainting and racing heart , which may seem difficult to deal with and overcome .
304	But I 'm sure it 's not beyond hope and there are plenty of techniques how to treat this phobia and even overcome it completely .
305	You 'll fight the problem , if you know everyting about it and understand irrational of your fears .
306	Read more about claustrofobia .
307	Try to answer for yourself why do you afraid of underground , lifts , officeboxes and others .
308	If you have some physical symptoms , like breathing problems or shaking , or racing heart , you 'd ask a doctor to help you .
309	If you have psychological symptoms , you 'd try a cognitive behavior therapy or some relaxation techniques .
310	I believe you 'll get your fears over and can keep working with us !
311	I heard you have some problems with enclosed spaces .
312	It 's too bad for your job !
313	You have to fight off your fears !
314	I know , it 'll be not easy for you , but you have to try !
315	I 'd like to give you some advice .
316	I hope it 'll be useful .
317	And of course , never stop thinking positively about your progress , you are already a strong person who has began to take some steps on the way of overcoming his fears .
318	I wish you would stay working for your company and would cope with the phobia .
319	How are you ?
320	I 've known that you are afraid of enclosed spaces .
321	I think you shouldn’t succumb to panic and keep your job .
322	At first , to avoid quitting the job and to overcome your fears you have to face them , speak about them and understand their primary cause .
323	Try to spend a little time in enclosed places gradually increasing the time of staying there , thereby you gets used to it .
324	In case if this does not help , I suggest you to seek a qualified assistance .
325	You will be taught the techniques like meditation , breathing technique , muscle relaxation that can be used to help you .
326	This is my advice for you : try not to think about enclosed setting and about your fear .
327	Make deep and slow breathes .
328	You 'll see it 's work .
329	I wish you manage with your fears and continue work in our company !
330	You are a nice employee and colleague .
331	It would be bad to lose such man like you .
332	I am really sorry that you have this phobia and I want to help you .
333	Some people have claustrophobia .
334	They afraid to be in enclosed spaces .
335	If they are in confined space .
336	they feel fear and panic .
337	they become sweaty .
338	And thirdly , in the worst case you can always ask your doctor to prescribe you a medicine to manage the symptoms .
339	It would be awesome if you could stay with us and continue being such a wonderful collegue .
340	How is life ?
341	I 've heard you decided to resign because of claustrophobia .
342	I would like to encourage you if you do not mind .
343	They say there is number of treatments and techniques to cope with this .
344	Firstly , you can resort to Cognitional Behavioral Therapy which helps you to forward your mind into positive and rational way of thinking in an enclosed area .
345	You will be able to practice with a therapist in a confined space for safer feelings .
346	Secondly , you may use meditation , breathing techniques and muscle relaxation to remove panic or anxiety .
347	in our office you can hung up photos with beautiful landscapes which you want to visit .
348	Than , you can try yoga meditations .
349	I should say it 's a great thing .
350	You 'll become calmer and more confident .
351	Besides , you can describe what exactly in our office provoke frighten you possible it can be changed and a new design will improve mood of all workers .
352	It 's pitty to heard that you are going to leave the job .
353	As I know the main reason of it is your fear of enclosed space .
354	I am sure that you should save this position where you are so valuable worker .
355	I believe that our boss will be glad to give you new working place in new office , which will open in s month .
356	You can get a vacation while new office is decorating .
357	Also recently I read an article about methods how to cope with claustrophobia , possibly they can be useful for you .
358	First , it 's you positive thoughts .
359	Try think about something pleasure when you are located in enclosed or crowded room .
360	I hope you are doing well .
361	I have heard you are going to resignate because of claustrophobia you feel in crowded metro and confined space .
362	If you experience some psychological or physical symptoms I would suggest you to consult a doctor or medical professional for help especiely if you cannot control the symptoms .
363	I have read that there is a number of treatments and techniques for dealing with claustrophobia .
364	You 'll be able to overcome your fear and anxiety completely with it never to return .
365	You can be trained in meditation , musle relaxation , breathing techniques etc. I hope you will use my advise .
366	May be you should seek for a good therapist or try CBT -LRB- Cognitive Behavioral Therapy -RRB- . Just remember that we live in the world with lots of new developments especially in medicine .
367	The drug treatment can be surely very effective for some period till you completely can manage all the negative aspects that make you a sufferer .
368	Overcoming a phobia seems to be getting blood from a stone but I was astounded at the successful results of those who tackled such a problem .
369	I hope to see you soon as a claustrophobia winner !
370	Do n't hesitate to phone me any time you need to come up with an appropriate way to deal with your fear .
371	Keep in touch , Tatyana .
372	I was really surprised at your decision to resign in account of your phobia that certainly can be cured .
373	I believe that you should n't give up the current job and let your irrational fear take control of your lifestyle .
374	The issue to think of deeply - it 's always better to confront your fears rather than to avoid them .
375	Take your time and sweat blood to prevent your phobia growing .
376	I suggest that the most of your psychological symptoms -LRB- panic attacks , anxiety , and despair -RRB- must be treated by joining some kind of supportive group providing the possibility to meet and talk to people with the same troubles to share the experience and be understood .
377	Anyway think positively and practice the relaxation exercises to keep your emotional balance .
378	I do realize how hard it is to calm down when it comes to such physical symptoms like heart racing , sweating and breathing problems .
379	He is good in Cognitive Behavioral Therapy .
380	It will train your mind towards a more positive way of thinking so that you no longer feel anxious about enclosed spaces .
381	Please , call my uncle:55587654 .
382	You can consult him for help .
383	I hope everything will be OK with you and you will n't leave your job .
384	I accidently found out that you are going to leave your job .
385	I am very sorry about it and I ' dlike to encourage you not to do this .
386	I understand that it is very difficult for you to travel by subway and stay at work .
387	I know that when you are in an enclosed space you feel anxiety and panic .
388	you have a desire to move and stay close to an exit .
389	Besides , you have problems with breathing and with your heart .
390	But I have good news !
391	My uncle is a doctor .
392	Everybody in our team really want you to keep this job .
393	We are sure it’s possible to find some better solution for your problems , without living of our team !
394	By now , Nick
395	Your letter helped me to understand the true reasons of your decision .
396	These reasons are quite serious , and I’m sure you have to choose the better way for yourself .
397	But I suppose I have to try to persuade you to keep your current job .
398	I read about claustrophobia symptoms .
399	I’m sure that’s really terrible to fell anxiety and even panic every day during your way to the office .
400	Racing heart , shaking and breath problems are not pleasant at all , I know that .
401	But on the other hand - a number of treatments and techniques are available for dealing with claustrophobia .
402	Cognitive Behavioral Therapy for example - I read many times it really works .
403	Later I consulted the phychologist and she told me I was right to turn the attention to another subject .
404	I hope this information will help you to change your mind and to stay with us .
405	Bye now , Jack
406	I 've known about your decision to resign and it 's a pity for me and all our friends and colleques .
407	Maybe it will be helpful to you to know that I had the same problems .
408	I noticed the first simptoms of claustrophobia when I went to college and I had to travel on the subway every day .
409	I was filled with fear and started to panic .
410	It was hard to breathe and I decided that I was dying .
411	But I imagined my girl-friend and began to speak to her .
412	Gradually the simptoms disappeared and I could breathe .
413	I did several deep breaths and felt myself much better .
414	How is it going ?
415	I 've heard that you have claustrophobia .
416	If you have this phobia it may be some psychological or phisical symptoms like breathing problems , fainting , racing heart or sweating .
417	I realy wonna help you .
418	I found out some treatments for you : Cognitive Behavioral Therapy -LRB- CBT -RRB- . CBT aims to train the patient 's mind towards a more positive and rational way of thinking so that you no longer feel anxious about enclosed spaces .
419	Also try breathing techniques , muscle relaxation etc. Try it ASAP .
420	Call me then .
421	Hello for evereone !
422	For example , if a claustrophobe has a pounding heart brought on by anxiety , the medication can help to return it to its normal rate .
423	I hope it was interesting and helpful to you .
424	And , please , do n't ill .
425	Today we will will speak about claustrophobia .
426	Claustrophobia can be defined in general teams as an irrational fear of enclosed spaces .
427	Psychological symptoms : feelings of anxiety , panic , a feeling that the situation is dangerous and an urge to look for wayes out exits .
428	Physical symptoms might include : breathing problems , faiting , racing heart , shaking and sweating .
429	Probias can be embarrassing for the sufferer .
430	Drug treatments are available from doctor .
431	These can be used to help the patient manage their symptoms .
432	Hello for evereone !
433	For example , if a claustrophobe has a pounding heart brought on by anxiety , the medication can help to return it to its normal rate .
434	I hope it was interesting and helpful to you .
435	And , please , do n't ill .
436	Today we will will speak about claustrophobia .
437	Claustrophobia can be defined in general teams as an irrational fear of enclosed spaces .
438	Psychological symptoms : feelings of anxiety , panic , a feeling that the situation is dangerous and an urge to look for wayes out exits .
439	Physical symptoms might include : breathing problems , faiting , racing heart , shaking and sweating .
440	Probias can be embarrassing for the sufferer .
441	Drug treatments are available from doctor .
442	These can be used to help the patient manage their symptoms .
443	I 've read a leaflet about claustrophobia .
444	I know you have some problem with your new job and I think you should read it .
445	it 's possible to cope with the phobia .
446	I know , you can .
447	You have to think more positive and rational .
448	You also can visit a therapist who will try to make you feel as safe as possible and after it you will get use situation and come to accept there is little reason to be afraid .
449	Ian , you can use breathing techniquies for cope the simptoms during the panic attack .
450	I hope this leaflet can help you with you problem .
451	For example , they totally forget after therapy about heart racing .
452	breath problems and sweating when they are in enclosed spaces .
453	I’m sure you will find out that phobias don’t run in the blood if you visit a doctor !
454	How 's it going ?
455	I 've heard you are going to resign .
456	But I would like to encourage you to keep your job !
457	Have you ever thought about going to a therapist ?
458	I would terribly recommend you seek a help from a medical professional , because it’s important to confront irrational fears rather than avoid them .
459	There are many techniques available for dealing to claustrophobia .
460	Many who use them are amazed at the improvements .
461	Wish you the best !
462	Thay say you desided to change your job because of new office .
463	So I would advice you do n't do it please !
464	I know that you suffer from your claustrofobia .
465	You are allways have breathing problems , shaking and sweating when you are in any kind of enclosed places .
466	But your irrational panic is really just a psychological problem so you could cope with phobia if you visit a doctor .
467	Spesialist shows you a number of threatments and techniques to train your mind .
468	You will learn how to calm down and feel yourself more safe in stress situation .
469	If you consult the doctor you will solve a great amount of your psychological and physical symptoms .
470	Please , do not hesitate to ask me any questions you want .
471	I really want you to continue your career in our Bank .
472	Hope to hear from you soon , Love , Catherine .
473	How is it going ?
474	I know about your claustrophobia and that you want to resign .
475	But I 'm absolutely sure that you 're making a mistake of your life .
476	Claustrophobia is not a sentence .
477	I understand that you feel panic and anxious , always face with a desire to move and stay close to an exit .
478	But I think you should pull yourself together .
479	There 's a great variety of treatments for dealing with claustrophobia .
480	For example - cognitive behavioral therapy .
481	And of course , drug treatment are available from a doctor .
482	I hope that my letter was helpful for you .
483	Bye now , Yana
484	How is it going ?
485	I 've heard that you are going to leave your current job ?
486	Well , I strongly recommend you to think about your resignition one more time .
487	I want to give you some advices about how to cope with the phobia .
488	First of all you should consult a doctor or medical professional help .
489	You can try Cognitive Behaviorial Therapy -LRB- CBT -RRB- . CBT aims to train your mind towards a more positive and rational way of thinking so that you no longer feel anxious about enclosed spaces .
490	You may also be tought meditation , breathing techniques , muscle relaxation .
491	You are my friend and I see you love your job and do your best for your company .
492	So , I wish you to take a holiday to learn more about all these methods and return to your work !
493	Best wishes to you .
494	I believe in you !
495	Your friend , Andrey .
496	Ian , You 've decided to quit your job , I feel upset about it very much !
497	I can imagine how awful you do feel but do n't give up so easily !
498	Claustrophobia is a common problem nowadays and there are a lot of ways to get rid of it !
499	You can use medicine , special drugs to cure it .
500	In addition to medication treatments there are a lot of different techniques which help to train the mind towards a more positive and rational way of thinking so that you no longer feel anxious about enclosed spaces .
501	You can also be taught methods for dealing with the symptoms !
502	Training in meditation , different breathing techniques , muscles relaxation can be used to help you during a panic attack or any such period of anxiety .
503	If you have a pounding heart brought by anxiety , the medication can help to return it to its normal rate .
504	You are my friend and I see you love your job and do your best for your company .
505	So , I wish you to take a holiday to learn more about all these methods and return to your work !
506	Best wishes to you .
507	I believe in you !
508	Your friend , Andrey .
509	Ian , You 've decided to quit your job , I feel upset about it very much !
510	I can imagine how awful you do feel but do n't give up so easily !
511	Claustrophobia is a common problem nowadays and there are a lot of ways to get rid of it !
512	You can use medicine , special drugs to cure it .
513	In addition to medication treatments there are a lot of different techniques which help to train the mind towards a more positive and rational way of thinking so that you no longer feel anxious about enclosed spaces .
514	You can also be taught methods for dealing with the symptoms !
515	Training in meditation , different breathing techniques , muscles relaxation can be used to help you during a panic attack or any such period of anxiety .
516	If you have a pounding heart brought by anxiety , the medication can help to return it to its normal rate .
517	it 's really great improvement !
518	This treatment called CBT - cognitive behavioral therapy .
